ui_id,query_id,response_id,intent,category,ir_element_count,ir_byte_size,table_domains,table_cell_coverage,information_chunking_score,image_presence,icon_presence,markdown_leak_lines,fallback_generated,screenshot_exists,screenshot_path,gaps
u_000033_01,q_000033,r_000033_01,Travel,Travel,39,8101,flight,0.6098,0.7082,1.0000,1.0000,0,0,1,android_device_rendered\33_u_000033_01.png,
u_000034_01,q_000034,r_000034_01,Travel,Weather,48,8815,schedule,0.3810,0.9190,1.0000,0.0000,0,0,1,android_device_rendered\34_u_000034_01.png,weak_table_coverage
u_000035_01,q_000035,r_000035_01,Navigation,Weather,18,3780,comparison,0.6897,0.2921,1.0000,1.0000,0,0,1,android_device_rendered\35_u_000035_01.png,dense_text_layout
u_000036_01,q_000036,r_000036_01,Navigation,Travel,36,8104,,0.2778,0.6486,1.0000,1.0000,0,0,1,android_device_rendered\36_u_000036_01.png,
u_000037_01,q_000037,r_000037_01,Education,Booking,59,11128,schedule,0.2970,0.8704,1.0000,0.0000,0,0,1,android_device_rendered\37_u_000037_01.png,weak_table_coverage
u_000038_01,q_000038,r_000038_01,Education,Booking,35,5797,,0.0000,0.8766,1.0000,0.0000,0,0,1,android_device_rendered\38_u_000038_01.png,
u_000039_01,q_000039,r_000039_01,Documentation,Comparison,36,6962,,0.0000,0.8816,0.0000,0.0000,0,0,1,android_device_rendered\39_u_000039_01.png,missing_media_signal
u_000040_01,q_000040,r_000040_01,Documentation,Booking,53,9757,comparison,0.4516,0.9188,0.0000,1.0000,0,0,1,android_device_rendered\40_u_000040_01.png,weak_table_coverage
u_000041_01,q_000041,r_000041_01,media playback,Booking,39,6551,comparison,0.4364,0.6368,1.0000,1.0000,0,0,1,android_device_rendered\41_u_000041_01.png,weak_table_coverage
u_000042_01,q_000042,r_000042_01,media playback,Booking,26,5994,generic,0.6481,0.7712,1.0000,1.0000,0,0,1,android_device_rendered\42_u_000042_01.png,
u_000043_01,q_000043,r_000043_01,qr scanner,Comparison,46,6928,status,0.3214,0.6705,1.0000,1.0000,0,0,1,android_device_rendered\43_u_000043_01.png,weak_table_coverage
u_000044_01,q_000044,r_000044_01,qr scanner,Booking,23,4014,,0.0000,0.5698,1.0000,0.0000,0,0,1,android_device_rendered\44_u_000044_01.png,
u_000045_01,q_000045,r_000045_01,status check,Travel,17,3248,status,0.7273,0.4868,1.0000,1.0000,0,0,1,android_device_rendered\45_u_000045_01.png,
u_000046_01,q_000046,r_000046_01,status check,Booking,26,4197,status,0.5238,0.6178,1.0000,1.0000,0,0,1,android_device_rendered\46_u_000046_01.png,weak_table_coverage
u_000047_01,q_000047,r_000047_01,notification,Comparison,27,5275,status,0.5682,0.7662,0.0000,1.0000,0,0,1,android_device_rendered\47_u_000047_01.png,
u_000048_01,q_000048,r_000048_01,notification,Travel,26,4226,,0.6875,0.5847,1.0000,1.0000,0,0,1,android_device_rendered\48_u_000048_01.png,
u_000049_01,q_000049,r_000049_01,widgets,Comparison,19,3374,generic,0.6400,0.4944,0.0000,1.0000,0,0,1,android_device_rendered\49_u_000049_01.png,
u_000050_01,q_000050,r_000050_01,widgets,Weather,28,4335,weather,0.6897,0.5736,1.0000,1.0000,0,0,1,android_device_rendered\50_u_000050_01.png,
