ui_id,query_id,response_id,intent,category,ir_element_count,ir_byte_size,table_domains,table_cell_coverage,information_chunking_score,image_presence,icon_presence,markdown_leak_lines,fallback_generated,screenshot_exists,screenshot_path,gaps
u_000019_01,q_000019,r_000019_01,Localization,Travel,34,7572,,0.5172,0.8405,1.0000,1.0000,0,0,1,android_device_rendered\19_u_000019_01.png,weak_table_coverage
u_000020_01,q_000020,r_000020_01,Localization,Travel,18,5072,generic,0.4750,0.5377,1.0000,0.0000,0,0,1,android_device_rendered\20_u_000020_01.png,weak_table_coverage
u_000021_01,q_000021,r_000021_01,Technical support,Travel,46,10863,generic,0.6364,0.8563,1.0000,0.0000,17,0,1,android_device_rendered\21_u_000021_01.png,markdown_leakage
u_000022_01,q_000022,r_000022_01,Technical support,Booking,47,9556,,0.0000,0.9241,0.0000,1.0000,0,0,1,android_device_rendered\22_u_000022_01.png,
u_000023_01,q_000023,r_000023_01,Creating Writing,Comparison,18,3783,,0.0000,0.5323,0.0000,0.0000,0,0,1,android_device_rendered\23_u_000023_01.png,missing_media_signal
u_000024_01,q_000024,r_000024_01,Creating Writing,Comparison,36,6368,,0.0000,0.4098,1.0000,1.0000,0,0,1,android_device_rendered\24_u_000024_01.png,dense_text_layout
u_000025_01,q_000025,r_000025_01,Event Schedule,Weather,16,4599,generic,0.5556,0.2642,1.0000,0.0000,0,0,1,android_device_rendered\25_u_000025_01.png,dense_text_layout
u_000026_01,q_000026,r_000026_01,Event Schedule,Travel,27,7394,generic,0.8286,0.7994,1.0000,1.0000,0,0,1,android_device_rendered\26_u_000026_01.png,
u_000027_01,q_000027,r_000027_01,Research Analysis,Booking,25,4874,generic,0.5909,0.5341,0.0000,1.0000,0,0,1,android_device_rendered\27_u_000027_01.png,
u_000028_01,q_000028,r_000028_01,Research Analysis,Booking,28,5856,generic,0.6667,0.7935,1.0000,0.0000,0,0,1,android_device_rendered\28_u_000028_01.png,
u_000029_01,q_000029,r_000029_01,Comparison,Travel,25,7223,,0.7143,0.6375,1.0000,0.0000,0,0,1,android_device_rendered\29_u_000029_01.png,
u_000030_01,q_000030,r_000030_01,Comparison,Booking,29,8362,generic,0.5455,0.6801,1.0000,1.0000,0,0,1,android_device_rendered\30_u_000030_01.png,weak_table_coverage
u_000031_01,q_000031,r_000031_01,calculation,Comparison,32,5786,generic,0.4545,0.7195,1.0000,0.0000,0,0,1,android_device_rendered\31_u_000031_01.png,weak_table_coverage
u_000032_01,q_000032,r_000032_01,calculation,Comparison,46,7071,,0.6970,0.8437,1.0000,1.0000,0,0,1,android_device_rendered\32_u_000032_01.png,
u_000033_01,q_000033,r_000033_01,Travel,Travel,26,7602,flight,0.7073,0.5328,1.0000,0.0000,0,0,1,android_device_rendered\33_u_000033_01.png,
u_000034_01,q_000034,r_000034_01,Travel,Weather,2,7942,,0.0000,0.0000,0.0000,0.0000,30,1,1,android_device_rendered\34_u_000034_01.png,fallback_generated;markdown_leakage;dense_text_layout;missing_media_signal
u_000035_01,q_000035,r_000035_01,Navigation,Weather,20,4707,generic,0.6897,0.2548,1.0000,1.0000,0,0,1,android_device_rendered\35_u_000035_01.png,dense_text_layout
u_000036_01,q_000036,r_000036_01,Navigation,Travel,69,11758,,0.0000,0.8844,1.0000,1.0000,0,0,1,android_device_rendered\36_u_000036_01.png,
u_000037_01,q_000037,r_000037_01,Education,Booking,68,12489,,0.2970,0.8724,1.0000,1.0000,0,0,1,android_device_rendered\37_u_000037_01.png,weak_table_coverage
u_000038_01,q_000038,r_000038_01,Education,Booking,36,7503,,0.0000,0.7415,1.0000,0.0000,0,0,1,android_device_rendered\38_u_000038_01.png,
u_000039_01,q_000039,r_000039_01,Documentation,Comparison,37,7373,,0.0000,0.8831,0.0000,0.0000,28,0,1,android_device_rendered\39_u_000039_01.png,markdown_leakage;missing_media_signal
u_000040_01,q_000040,r_000040_01,Documentation,Booking,55,10762,generic,0.4516,0.8821,0.0000,1.0000,0,0,1,android_device_rendered\40_u_000040_01.png,weak_table_coverage
u_000041_01,q_000041,r_000041_01,media playback,Booking,36,7488,generic,0.4364,0.6368,1.0000,0.0000,0,0,1,android_device_rendered\41_u_000041_01.png,weak_table_coverage
u_000042_01,q_000042,r_000042_01,media playback,Booking,22,6723,,0.6481,0.4947,1.0000,1.0000,0,0,1,android_device_rendered\42_u_000042_01.png,
u_000043_01,q_000043,r_000043_01,qr scanner,Comparison,39,6902,,0.3214,0.6088,1.0000,1.0000,0,0,1,android_device_rendered\43_u_000043_01.png,weak_table_coverage
u_000044_01,q_000044,r_000044_01,qr scanner,Booking,48,7224,,0.0000,0.6498,1.0000,1.0000,0,0,1,android_device_rendered\44_u_000044_01.png,
u_000045_01,q_000045,r_000045_01,status check,Travel,18,3975,generic,0.7273,0.4413,1.0000,1.0000,0,0,1,android_device_rendered\45_u_000045_01.png,dense_text_layout
u_000046_01,q_000046,r_000046_01,status check,Booking,23,4439,generic,0.5238,0.4758,1.0000,1.0000,0,0,1,android_device_rendered\46_u_000046_01.png,weak_table_coverage
u_000047_01,q_000047,r_000047_01,notification,Comparison,28,5885,generic,0.5682,0.7466,0.0000,1.0000,0,0,1,android_device_rendered\47_u_000047_01.png,
u_000048_01,q_000048,r_000048_01,notification,Travel,24,4164,,0.6875,0.5847,1.0000,1.0000,0,0,1,android_device_rendered\48_u_000048_01.png,
u_000049_01,q_000049,r_000049_01,widgets,Comparison,21,3874,generic,0.6400,0.6192,0.0000,1.0000,0,0,1,android_device_rendered\49_u_000049_01.png,
u_000050_01,q_000050,r_000050_01,widgets,Weather,30,4856,weather,0.6897,0.4205,1.0000,1.0000,0,0,1,android_device_rendered\50_u_000050_01.png,dense_text_layout
